payment_uuid,payment_date,amount,payment_method,policy_id
31618aca-b412-4fe9-9ebb-5585d7842feb,30-08-2022,3385,Cash,786
8dd1a998-cbd5-49d8-ae8f-33ee64b9be99,01-12-2021,10885,Debit Card,384
ae21158f-bf15-4edf-be4c-8969788db330,20-10-2020,45529,Debit Card,94
a56b1bd3-7fa1-40d8-89c6-7c57c2d42862,18-02-2021,1786,Credit Card,15
47fc03df-275e-4ad1-a293-4467a0c7c2cc,16-05-2021,17519,Debit Card,697
77b8d250-8145-4022-a040-50194c80c82c,04-11-2023,33779,Debit Card,982
f7f429b2-0375-456a-bc2d-5b807ba2371b,28-03-2021,44232,Debit Card,742
271e88e2-b7c0-43f2-871a-6edf338d5b6c,22-12-2022,9185,Cash,525
19170990-16ef-4f61-91d1-48c3901af914,02-02-2022,6277,Net Banking,331
f031c74b-baef-49ae-8d34-61b7b856edea,25-03-2022,28541,Debit Card,640
ea48f027-ab20-4e71-83bc-15d07dc14f48,26-08-2024,11149,UPI,405
35fbe862-e334-4cf5-9bbd-b10d2eabc747,30-11-2022,47007,Credit Card,238
ce50b1a3-be61-4a76-909b-758da1c22a71,25-06-2022,11475,Net Banking,332
2cc1932f-1f84-45f0-a519-c06d88193e29,26-11-2019,9507,Cash,670
5443d30f-fcde-4006-9d32-4f0d624caca4,27-11-2021,16496,Cash,218
d94ba2b7-a411-4a16-af6e-0441d2352ec0,01-12-2019,23480,Credit Card,674
190e3c9e-ae05-4ec6-bd2a-a1d14901e069,28-08-2023,40939,UPI,378
84bc8fae-c462-4cd0-bacb-8957ee84a024,15-09-2024,3153,Debit Card,421
f1f93477-4851-4169-8b79-cb5316ea415d,02-07-2022,15775,UPI,512
85e274fc-8bb3-4974-a9f4-bd02f930226e,11-06-2024,49172,Credit Card,730
1c04b6c0-d5fe-40c2-a92d-b8e3021d194b,05-12-2020,27273,UPI,176
6952cfb1-ede1-4ca2-b803-a5bea2a6cc4c,12-08-2022,13345,Credit Card,615
959f8067-bcd5-45e8-87ad-c27c1fdd4bbc,09-12-2021,16893,Cash,695
58b77491-9370-4d96-9062-c60788547951,11-06-2023,46303,Debit Card,341
b5806330-91f2-4e5e-9483-8a311a214520,18-10-2023,9591,Net Banking,872
bbee6557-6c59-44de-a666-3deb829f6dda,19-07-2023,33652,Credit Card,344
e8527cf3-3ac4-4c8b-9fce-bc4ff7490eb9,24-01-2021,1865,UPI,460
ed6c34ae-a963-4f09-bc52-96bea413a12a,28-10-2021,19736,Debit Card,516
294b584b-4672-40b8-8e10-8cd9ccef7ad9,29-12-2022,29786,Credit Card,239
7906b9c8-abc7-4253-8fa0-174facee95d1,24-07-2023,2039,Credit Card,317
aa33fd76-5d66-44c8-97d6-7ac610132877,05-12-2023,12583,Cash,776
0992c9b8-8b9a-4649-b005-234362ec81fc,24-03-2024,12934,Credit Card,62
a830b194-787d-42a7-9780-d1c9c6b5da7c,06-06-2021,7740,Cash,304
7b51b9ed-6225-411b-80d5-cef6dd9c2889,05-08-2024,10899,Cash,210
198e2228-857f-4128-bcf4-e4f50185fffb,23-11-2019,32460,Debit Card,946
5b187480-b290-404a-b599-d585e3eb23d9,30-07-2023,36540,Cash,757
9f21a655-6165-4d4c-8a63-947129020248,09-07-2022,43989,Debit Card,285
297ca1ec-5fdb-4296-a823-02c826555396,27-06-2020,16559,Credit Card,534
b86de681-e369-4023-b102-7514c71dbc4a,07-04-2023,39797,Cash,664
0d4648d8-33b4-41b5-97e3-f197d408eb3c,08-07-2021,40823,Credit Card,235
30f89f3e-8b40-4596-8b1a-f5d519acb9c3,04-06-2024,42500,Net Banking,351
b22efc87-09a6-4025-a93d-d29faed46b3c,03-11-2019,12870,UPI,56
0458ffb3-2849-466f-bd80-c78879c175d8,18-03-2023,45425,Debit Card,821
5ee13863-a66f-4986-8ab0-44bd6c74f98b,06-06-2023,34680,Debit Card,623
968a804b-433a-4711-acf3-11a8aca7abe5,05-05-2021,43763,UPI,330
b069942e-9b59-41e4-b111-b0d3851e9444,30-03-2023,9994,Credit Card,67
